ASV,stat,p-value,OA,Division,Genus,Species,Abundance
ASV2498,0.251,0.001,Low,Rhizaria,Unknown Astrosphaeridae (Family),Unknown Astrosphaeridae (Family),0.471090091
ASV3990,0.249,0.001,Low,Alveolata,Unknown Dinophyceae (Class),Unknown Dinophyceae (Class),0.080215144
ASV7719,0.248,0.001,Low,Chlorophyta,Micromonas,Micromonas_commoda_A1,0.063986646
ASV18537,0.248,0.001,Low,Alveolata,Euduboscquella,Euduboscquella_crenulata,0.02411091
ASV9299,0.246,0.001,Low,Stramenopiles,MAST-3J,MAST-3J_sp.,0.10989011
ASV20335,0.245,0.001,Low,Alveolata,Dino-Group-I-Clade-4_X,Dino-Group-I-Clade-4_X_sp.,0.153011545
ASV10496,0.245,0.001,Low,Stramenopiles,MAST-4D,MAST-4D_sp.,0.044976121
ASV730,0.244,0.001,Low,Stramenopiles,Unknown Gyrista (Subdivision),Unknown Gyrista (Subdivision),0.089488571
ASV22234,0.244,0.001,Low,Stramenopiles,Unknown Fragilariaceae (Family),Unknown Fragilariaceae (Family),0.123336579
ASV14521,0.244,0.001,Low,Alveolata,Unknown Oligotrichida (Order),Unknown Oligotrichida (Order),0.30231372
ASV8752,0.243,0.001,Low,Stramenopiles,Thalassiosira,Unknown Thalassiosira (Genus),0.130755321
ASV20644,0.242,0.001,Low,Rhizaria,Cryothecomonas,Unknown Cryothecomonas (Genus),0.025965596
ASV12217,0.241,0.001,Low,Stramenopiles,Unknown MAST-2 (Family),Unknown MAST-2 (Family),0.036166365
ASV5604,0.239,0.001,Low,Rhizaria,Astrosphaera,Astrosphaera_hexagonalis,0.639866463
ASV1703,0.239,0.001,Low,Chlorophyta,Micromonas,Micromonas_clade_B5,0.172949413
ASV8456,0.238,0.001,Low,Alveolata,Unknown Dinophyceae (Class),Unknown Dinophyceae (Class),0.216070849
ASV15332,0.237,0.001,Low,Stramenopiles,Unknown Thalassiosiraceae (Family),Unknown Thalassiosiraceae (Family),0.084388186
ASV20348,0.235,0.001,Low,Stramenopiles,Unknown Thalassiosirales (Order),Unknown Thalassiosirales (Order),0.308341448
ASV6296,0.23,0.001,Low,Rhizaria,Acantharea_4d_X,Acantharea_4d_X_sp.,0.030138638
ASV23494,0.23,0.001,Low,Alveolata,Dino-Group-II-Clade-1_X,Dino-Group-II-Clade-1_X_sp.,0.044976121
ASV18327,0.23,0.001,Low,Chlorophyta,Chloroparvula,Chloroparvula_pacifica,0.147911161
ASV16545,0.229,0.001,Low,Alveolata,Yihiella,Yihiella_yeosuensis,0.154402559
ASV22924,0.228,0.001,Low,Alveolata,Ellobiopsis,Ellobiopsis_chattonii,0.036630037
ASV7913,0.226,0.001,Low,Alveolata,Dino-Group-II-Clade-13_X,Dino-Group-II-Clade-13_X_sp.,0.051003848
ASV22520,0.226,0.001,Low,Stramenopiles,MAST-10_X,MAST-10_X_sp.,0.028283952
ASV8843,0.225,0.001,Low,Alveolata,Unknown Warnowiaceae (Family),Unknown Warnowiaceae (Family),0.159966616
ASV5101,0.223,0.001,Low,Alveolata,Unknown Dino-Group-II (Order),Unknown Dino-Group-II (Order),0.062131961
ASV15266,0.223,0.001,Low,Others,Geminigera:nucl,Geminigera_cryophila:nucl,0.022719896
ASV9096,0.22,0.001,Low,Alveolata,Unknown Dinophyceae (Class),Unknown Dinophyceae (Class),0.204479065
ASV20261,0.22,0.001,Low,Chlorophyta,Micromonas,Micromonas_clade_B4,0.129364307
ASV20071,0.22,0.001,Low,Alveolata,Dino-Group-II-Clade-1_X,Dino-Group-II-Clade-1_X_sp.,0.066768674
ASV195,0.219,0.001,Low,Alveolata,Unknown Dinoflagellata (Subdivision),Unknown Dinoflagellata (Subdivision),0.01020077
ASV5114,0.216,0.001,Low,Alveolata,Unknown Dinophyceae (Class),Unknown Dinophyceae (Class),0.010664441
ASV22838,0.216,0.001,Low,Alveolata,Dino-Group-II-Clade-14_X,Dino-Group-II-Clade-14_X_sp.,0.164139658
ASV21067,0.215,0.001,Low,Chlorophyta,Chloroparvula,Chloroparvula_pacifica,0.040803079
ASV15560,0.214,0.001,Low,Others,Unknown Cryptomonadales_X (Family),Unknown Cryptomonadales_X (Family),0.035239023
ASV12347,0.214,0.001,Low,Alveolata,Dino-Group-II-Clade-5_X,Dino-Group-II-Clade-5_X_sp.,0.040339407
ASV7804,0.213,0.001,Low,Alveolata,Dino-Group-I-Clade-4_X,Dino-Group-I-Clade-4_X_sp.,0.084388186
ASV11552,0.213,0.001,Low,Chlorophyta,Chloroparvula,Chloroparvula_pacifica,0.07557843
ASV17451,0.212,0.001,Low,Alveolata,Unknown Dinophyceae (Class),Unknown Dinophyceae (Class),0.154866231
ASV2000,0.211,0.001,Low,Stramenopiles,Unknown Bigyra (Subdivision),Unknown Bigyra (Subdivision),0.029211295
ASV13554,0.211,0.001,Low,Alveolata,Dinophyceae_XXX,Dinophyceae_XXX_sp.,0.107571753
ASV2310,0.21,0.001,Low,Stramenopiles,Bacillariophyceae_XXX,Bacillariophyceae_XXX_sp.,0.265683683
ASV2522,0.209,0.001,Low,Stramenopiles,Minidiscus,Minidiscus_variabilis,0.323642602
ASV12329,0.209,0.001,Low,Alveolata,Dino-Group-II-Clade-13_X,Dino-Group-II-Clade-13_X_sp.,0.039875736
ASV17077,0.208,0.001,Low,Stramenopiles,MAST-4C,MAST-4C_sp.,0.121481894
ASV7097,0.207,0.001,Low,Alveolata,Oligotrichida_XX,Oligotrichida_XX_sp.,0.056104233
ASV5294,0.206,0.001,Low,Others,Unknown Tremellomycetes (Family),Unknown Tremellomycetes (Family),0.071869059
ASV7029,0.205,0.001,Low,Stramenopiles,MAST-4F,MAST-4F_sp.,0.02735661
ASV12359,0.205,0.001,Low,Rhizaria,Cryothecomonas,Cryothecomonas_aestivalis,0.153938888
ASV13330,0.204,0.001,Low,Alveolata,Thoracosphaeraceae_X,Thoracosphaeraceae_X_sp.,0.036166365
ASV8229,0.203,0.001,Low,Alveolata,Dino-Group-II-Clade-10-and-11_X,Dino-Group-II-Clade-10-and-11_X_sp.,0.024574582
ASV23079,0.202,0.001,Low,Others,Unknown Fungi (Subdivision),Unknown Fungi (Subdivision),0.016228497
ASV319,0.201,0.001,Low,Chlorophyta,Picochlorum,Picochlorum_maculatum,0.154402559
ASV2914,0.199,0.001,Low,Stramenopiles,Unknown Gyrista (Subdivision),Unknown Gyrista (Subdivision),0.036166365
ASV21316,0.199,0.001,Low,Alveolata,Oligotrichida_XX,Oligotrichida_XX_sp.,0.024574582
ASV11285,0.199,0.001,Low,Alveolata,Unknown Dinophyceae (Class),Unknown Dinophyceae (Class),0.042657764
ASV3831,0.198,0.001,Low,Rhizaria,Thaumatomonadida_XX,Thaumatomonadida_XX_sp.,0.019010525
ASV19434,0.198,0.001,Low,Alveolata,Unknown Dino-Group-II (Order),Unknown Dino-Group-II (Order),0.012519126
ASV5074,0.197,0.001,Low,Alveolata,Dino-Group-II-Clade-5_X,Dino-Group-II-Clade-5_X_sp.,0.021328882
ASV963,0.196,0.001,Low,Stramenopiles,Thalassiosira,Unknown Thalassiosira (Genus),0.053322205
ASV22356,0.196,0.001,Low,Stramenopiles,Unknown Sagenista (Class),Unknown Sagenista (Class),0.012519126
ASV23858,0.193,0.001,Low,Alveolata,Dino-Group-II-Clade-1_X,Dino-Group-II-Clade-1_X_sp.,0.024574582
ASV11016,0.193,0.001,Low,Chlorophyta,Chloropicon,Unknown Chloropicon (Genus),0.042657764
ASV9410,0.19,0.001,Low,Alveolata,Dino-Group-II-Clade-7_X,Dino-Group-II-Clade-7_X_sp.,0.167385357
ASV17965,0.19,0.001,Low,Stramenopiles,Unknown Gyrista (Subdivision),Unknown Gyrista (Subdivision),0.077433115
ASV17510,0.189,0.001,Low,Stramenopiles,Thalassiosira,Unknown Thalassiosira (Genus),0.526730653
ASV10829,0.18,0.001,Low,Alveolata,Dino-Group-II-Clade-10-and-11_X,Dino-Group-II-Clade-10-and-11_X_sp.,0.027820281
ASV51,0.175,0.001,Low,Stramenopiles,MAST-3F,MAST-3F_sp.,0.019010525
ASV2741,0.175,0.001,Low,Alveolata,Unknown Dinoflagellata (Subdivision),Unknown Dinoflagellata (Subdivision),0.130291649
ASV3438,0.17,0.001,Low,Rhizaria,Unknown Spumellaria (Order),Unknown Spumellaria (Order),0.01715584
ASV6609,0.169,0.001,Low,Alveolata,Unknown Dinoflagellata (Subdivision),Unknown Dinoflagellata (Subdivision),0.015764826
ASV20094,0.165,0.001,Low,Stramenopiles,Minidiscus,Unknown Minidiscus (Genus),0.416840543
ASV8431,0.162,0.001,Low,Others,Telonemia-Group-2_X,Telonemia-Group-2_X_sp.,0.01391014
ASV15831,0.161,0.001,Low,Rhizaria,Cannobotryidae_X,Cannobotryidae_X_sp.,0.090415913
ASV3993,0.157,0.001,Low,Stramenopiles,Chaetoceros,Chaetoceros_socialis,0.188714239
ASV8978,0.15,0.001,Low,Alveolata,Dino-Group-II-Clade-7_X,Dino-Group-II-Clade-7_X_sp.,0.03431168
ASV8139,0.15,0.001,Low,Others,Hemiselmis,Hemiselmis_aquamarina,0.011591784
